TimeStep,TripID,Latitude,Longitude,Speed,Heading
1106,48,40.085213,-83.137993,65,348.0
1107,48,40.085475,-83.138047,65,348.0
1108,48,40.085738,-83.138093,65,348.0
1109,48,40.086,-83.138138,65,348.0
1110,48,40.086265,-83.138173,66,354.0
1111,48,40.086528,-83.138203,66,354.0
1112,48,40.086793,-83.13823,66,354.0
1113,48,40.08706,-83.138253,66,354.0
1114,48,40.087327,-83.13827,66,354.0
1115,48,40.087593,-83.138283,66,354.0
1116,48,40.087862,-83.138293,66,354.0
1117,48,40.08813,-83.138298,66,354.0
1118,48,40.0884,-83.138298,66,0.0
1119,48,40.088667,-83.138292,66,0.0
1120,48,40.088937,-83.138283,66,0.0
1121,48,40.089205,-83.138268,66,0.0
1122,48,40.089475,-83.138248,66,0.0
1123,48,40.089743,-83.138223,66,0.0
1124,48,40.090012,-83.138193,66,0.0
1125,48,40.090278,-83.138158,66,0.0
1126,48,40.090547,-83.13812,66,6.0
1127,48,40.09081,-83.138075,66,6.0
1128,48,40.091073,-83.138023,66,6.0
1129,48,40.091335,-83.13797,66,6.0
1130,48,40.091598,-83.137915,66,6.0
1131,48,40.091862,-83.137855,66,6.0
1132,48,40.092123,-83.137788,66,6.0
1133,48,40.092383,-83.137718,66,6.0
1134,48,40.092643,-83.137645,65,12.0
1135,48,40.092902,-83.137567,65,12.0
1136,48,40.09316,-83.137485,65,12.0
1137,48,40.093415,-83.1374,64,12.0
1138,48,40.093663,-83.137312,63,12.0
1139,48,40.093907,-83.13722,63,12.0
1140,48,40.094148,-83.137125,62,12.0
1141,48,40.094387,-83.13702,62,18.0
1142,48,40.094622,-83.136915,61,18.0
1143,48,40.094853,-83.136807,61,18.0
1144,48,40.095082,-83.136697,60,18.0
1145,48,40.095303,-83.136582,60,18.0
1146,48,40.095507,-83.136455,60,24.0
1147,48,40.095728,-83.136333,60,18.0
1148,48,40.095952,-83.136213,60,18.0
1149,48,40.096165,-83.136087,59,18.0
1150,48,40.096377,-83.135957,58,24.0
1151,48,40.096592,-83.135825,58,24.0
1152,48,40.0968,-83.135697,57,24.0
1153,48,40.097008,-83.135572,57,24.0
1154,48,40.097215,-83.135442,56,24.0
1155,48,40.097447,-83.135302,55,24.0
1156,48,40.097658,-83.13517,53,24.0
1157,48,40.097852,-83.135043,52,24.0
1158,48,40.098037,-83.134917,51,24.0
1159,48,40.098218,-83.134793,49,24.0
1160,48,40.09839,-83.134668,48,24.0
1161,48,40.098557,-83.134545,47,24.0
1162,48,40.098718,-83.13442,46,30.0
1163,48,40.098882,-83.134298,45,24.0
1164,48,40.09904,-83.134175,45,30.0
1165,48,40.099205,-83.134058,44,24.0
1166,48,40.099358,-83.13393,43,30.0
1167,48,40.09951,-83.133795,43,30.0
1168,48,40.099648,-83.133665,42,30.0
1169,48,40.099788,-83.133535,41,30.0
1170,48,40.099923,-83.133408,40,30.0
1171,48,40.10005,-83.133283,39,36.0
1172,48,40.100172,-83.133162,37,36.0
1173,48,40.100285,-83.133038,34,36.0
1174,48,40.100382,-83.132915,32,42.0
1175,48,40.100467,-83.13278,31,48.0
1176,48,40.100527,-83.132635,30,60.0
1177,48,40.10055,-83.13247,30,72.0
1178,48,40.100558,-83.13231,30,84.0
1179,48,40.100543,-83.13215,30,96.0
1180,48,40.100507,-83.131993,31,102.0
1181,48,40.100452,-83.131838,32,114.0
1182,48,40.100372,-83.1317,32,126.0
1183,48,40.10027,-83.131587,32,138.0
1184,48,40.100147,-83.1315,32,150.0
1185,48,40.10001,-83.13145,32,162.0
1186,48,40.09987,-83.131428,32,174.0
1187,48,40.09973,-83.131442,33,186.0
1188,48,40.0996,-83.131503,34,198.0
1189,48,40.099473,-83.13159,34,210.0
1190,48,40.099365,-83.1317,34,222.0
1191,48,40.099272,-83.131835,35,228.0
1192,48,40.099208,-83.131998,35,246.0
1193,48,40.099172,-83.132182,37,258.0
1194,48,40.099153,-83.132375,38,264.0
1195,48,40.099152,-83.13258,40,264.0
1196,48,40.099148,-83.132792,41,264.0
1197,48,40.099143,-83.13301,42,264.0
1198,48,40.099137,-83.133235,44,264.0
1199,48,40.099132,-83.133468,46,264.0
1200,48,40.099127,-83.133712,47,264.0
1201,48,40.099125,-83.133965,49,264.0
1202,48,40.099128,-83.134225,50,270.0
1203,48,40.099128,-83.134493,52,270.0
1204,48,40.09913,-83.134768,51,270.0
1205,48,40.099133,-83.13504,50,270.0
1206,48,40.099135,-83.135308,49,270.0
1207,48,40.099133,-83.135572,50,264.0
1208,48,40.099128,-83.135837,50,264.0
1209,48,40.099118,-83.136105,52,264.0
1210,48,40.099112,-83.136378,52,264.0
1211,48,40.09911,-83.136657,54,264.0
1212,48,40.09911,-83.136943,55,270.0
1213,48,40.099112,-83.137237,57,270.0
1214,48,40.099113,-83.137537,58,270.0
1215,48,40.099115,-83.137845,59,270.0
1216,48,40.099118,-83.138158,60,270.0
1217,48,40.09912,-83.138477,60,270.0
1218,48,40.099123,-83.138795,60,270.0
1219,48,40.099127,-83.139112,60,270.0
1220,48,40.099132,-83.139428,60,270.0
1221,48,40.099133,-83.139742,60,270.0
1222,48,40.099135,-83.140058,60,270.0
1223,48,40.099137,-83.140373,60,270.0
1224,48,40.099138,-83.14069,60,270.0
1225,48,40.099138,-83.141008,60,270.0
1226,48,40.099138,-83.141333,61,264.0
1227,48,40.099138,-83.141657,61,264.0
1228,48,40.099135,-83.141985,62,264.0
1229,48,40.099135,-83.14231,62,270.0
1230,48,40.09914,-83.142637,62,270.0
1231,48,40.099145,-83.142962,62,270.0
1232,48,40.099147,-83.143292,62,270.0
1233,48,40.099148,-83.143623,62,270.0
1234,48,40.099152,-83.143953,62,270.0
1235,48,40.099153,-83.144283,62,270.0
1236,48,40.099153,-83.144612,61,270.0
