Time,CarId,Longitude,Latitude,Speed,Heading,Class
594.1822118,118457,49.261743,4.05685,8.43,264.4,0
594.2822118,118457,49.26174,4.056839,8.37,260.5,0
594.3822118,118457,49.261737,4.056829,8.37,256.6,0
594.4822118,118457,49.261733,4.05682,8.36,250.6,0
594.5822118,118457,49.261727,4.056813,8.44,241.8,0
594.6822118,118457,49.261721,4.056805,8.45,234.4,0
594.7822118,118457,49.261715,4.056798,8.36,229.5,0
594.8822118,118457,49.261708,4.056794,8.38,222.3,0
594.9822118,118457,49.261701,4.056791,8.35,213.6,0
595.0822118,118457,49.261694,4.056788,8.36,207.4,0
595.1822118,118457,49.261687,4.056785,8.47,203.4,0
595.2822118,118457,49.261679,4.056782,8.36,199.4,0
595.3822118,118457,49.261672,4.05678,8.4,194.3,0
595.4822118,118457,49.261664,4.056779,8.54,191.6,0
595.5822118,118457,49.261656,4.056777,8.68,190.2,0
595.6822118,118457,49.261649,4.056776,8.84,188.8,0
595.9822118,118457,49.261624,4.056771,9.47,186.2,0
596.2822118,118457,49.261597,4.056766,10.02,186.2,0
596.5822118,118457,49.26157,4.056761,10.6,186.2,0
596.8822118,118457,49.26154,4.056756,11.3,186.2,0
597.1822118,118457,49.261509,4.05675,11.8,186.2,0
597.4822118,118457,49.261476,4.056744,12.51,186.2,0
597.7822118,118457,49.261441,4.056737,13.06,186.2,0
598.0822118,118457,49.261405,4.056731,13.65,186.2,0
598.3822118,118457,49.261368,4.056724,14.22,186.2,0
598.6822118,118457,49.261329,4.056716,14.76,186.2,0
598.9822118,118457,49.261289,4.056709,14.71,186.2,0
599.2822118,118457,49.26125,4.056701,14.72,186.2,0
599.5822118,118457,49.26121,4.056694,14.67,186.2,0
599.8822118,118457,49.261171,4.056687,14.72,186.2,0
600.1822118,118457,49.261132,4.056679,14.76,186.2,0
600.4822118,118457,49.261092,4.056672,14.8,186.2,0
600.7822118,118457,49.261053,4.056665,14.7,186.2,0
601.0822118,118457,49.261013,4.056657,0.79,175.6,1
601.3822118,118457,49.260974,4.05665,0.79,175.6,0
601.6822118,118457,49.260934,4.056641,0.79,175.6,0
601.9822118,118457,49.260895,4.056632,0.79,175.6,0
602.2822118,118457,49.260856,4.056623,0.79,175.6,0
602.5822118,118457,49.260816,4.056613,0.79,175.6,0
602.8822118,118457,49.260777,4.056604,0.79,175.6,0
603.1822118,118457,49.260738,4.056594,0.79,175.6,0
603.4822118,118457,49.260698,4.056585,0.79,175.6,0
603.7822118,118457,49.260659,4.056576,0.79,175.6,0
604.0822118,118457,49.26062,4.056566,0.79,175.6,0
604.3822118,118457,49.26058,4.056557,0.79,175.6,0
604.6822118,118457,49.260541,4.056547,0.79,175.6,0
604.8822118,118457,49.260516,4.056531,0.79,175.6,0
604.9822118,118457,49.260506,4.056516,0.79,175.6,0
605.0822118,118457,49.260495,4.056502,0.79,175.6,0
605.1822118,118457,49.260483,4.056494,0.79,175.6,0
605.2822118,118457,49.260469,4.056488,0.79,175.6,0
605.3822118,118457,49.260456,4.056486,0.79,175.6,0
605.4822118,118457,49.260443,4.056484,0.79,175.6,0
605.5822118,118457,49.26043,4.056482,0.79,175.6,0
605.6822118,118457,49.260417,4.056479,14.76,185.6,1
605.7822118,118457,49.260404,4.056477,14.75,185.6,0
606.0822118,118457,49.260364,4.05647,14.67,185.6,0
606.3822118,118457,49.260325,4.056463,14.7,185.6,0
606.6822118,118457,49.260285,4.056457,14.74,185.6,0
606.9822118,118457,49.260246,4.05645,14.76,185.6,0
607.2822118,118457,49.260206,4.056443,14.69,185.6,0
607.5822118,118457,49.260166,4.056437,14.71,184.9,0
607.8822118,118457,49.260126,4.056436,14.68,180.2,0
608.0822118,118457,49.2601,4.056442,14.68,174.4,0
608.2822118,118457,49.260074,4.056451,14.76,167.5,0
608.4822118,118457,49.260048,4.056457,14.7,168.3,0
608.6822118,118457,49.260022,4.056456,14.78,177,0
608.7822118,118457,49.260009,4.056453,14.74,182.4,0
608.8822118,118457,49.259996,4.05645,14.77,184.9,0
608.9822118,118457,49.259983,4.056448,14.78,186.9,0
609.0822118,118457,49.259969,4.056446,14.68,186.4,0
609.3822118,118457,49.25993,4.056439,14.7,185.8,0
609.6822118,118457,49.25989,4.056432,14.76,185.8,0
609.9822118,118457,49.259851,4.056425,14.75,185.8,0
610.2822118,118457,49.259811,4.056418,14.69,185.8,0
610.5822118,118457,49.259772,4.056411,14.69,185.8,0
610.8822118,118457,49.259732,4.056404,14.78,185.8,0
611.1822118,118457,49.259693,4.056397,14.75,185.8,0
611.4822118,118457,49.259654,4.05639,14.69,185.8,0
404.3383442,189173,49.259658,4.056479,13.86,6.3,0
404.6383442,189173,49.259695,4.056485,13.89,5.8,0
404.9383442,189173,49.259732,4.056492,13.89,5.8,0
405.2383442,189173,49.259769,4.056499,13.82,5.8,0
405.5383442,189173,49.259807,4.056505,13.92,5.8,0
405.8383442,189173,49.259844,4.056512,13.91,5.8,0
406.1383442,189173,49.259881,4.056518,13.82,5.8,0
406.4383442,189173,49.259918,4.056525,13.9,5.8,0
406.7383442,189173,49.259955,4.056532,13.87,5.8,0
407.0383442,189173,49.259992,4.056538,13.84,5.9,0
407.3383442,189173,49.260029,4.056545,13.88,5.8,0
407.6383442,189173,49.260067,4.056545,13.92,359.3,0
407.8383442,189173,49.260091,4.056537,13.87,352.1,0
407.9383442,189173,49.260103,4.056533,13.91,347.6,0
408.0383442,189173,49.260115,4.056528,13.91,346.2,0
408.1383442,189173,49.260128,4.056525,13.88,347.2,0
408.2383442,189173,49.26014,4.056524,13.86,349.6,0
408.4383442,189173,49.260165,4.056525,13.93,358.5,0
408.6383442,189173,49.26019,4.056529,13.89,3.5,0
408.8383442,189173,49.260215,4.056533,13.86,5.2,0
409.0383442,189173,49.260239,4.056537,13.84,5.6,0
409.2383442,189173,49.260264,4.056542,13.81,5.6,0
409.5383442,189173,49.260301,4.056548,13.81,5.6,0
409.8383442,189173,49.260338,4.056554,13.81,5.6,0
410.1383442,189173,49.260376,4.056561,13.93,5.6,0
410.4383442,189173,49.260413,4.056567,13.83,5.6,0
410.7383442,189173,49.26045,4.056574,13.93,5.6,0
411.0383442,189173,49.260487,4.056581,13.88,6.2,0
411.3383442,189173,49.260524,4.056588,13.84,6.9,0
411.6383442,189173,49.260561,4.056597,13.88,7.6,0
411.9383442,189173,49.260598,4.056606,13.93,8.1,0
412.2383442,189173,49.260635,4.056614,13.81,8.1,0
412.5383442,189173,49.260672,4.056623,13.9,8.1,0
412.8383442,189173,49.260709,4.056632,3.56,0.3,1
413.1383442,189173,49.260746,4.056641,3.56,0.3,0
413.4383442,189173,49.260782,4.056649,3.56,0.3,0
413.6383442,189173,49.260804,4.056655,3.56,0.3,0
413.8383442,189173,49.260825,4.05666,3.56,0.3,0
414.0383442,189173,49.260844,4.056664,3.56,0.3,0
414.2383442,189173,49.260861,4.056668,3.56,0.3,0
414.4383442,189173,49.260877,4.056672,3.56,0.3,0
414.6383442,189173,49.260891,4.056675,3.56,0.3,0
414.8383442,189173,49.260903,4.056678,3.56,0.3,0
415.0383442,189173,49.260914,4.056681,3.56,0.3,0
415.2383442,189173,49.260923,4.056683,3.56,0.3,0
415.4383442,189173,49.260931,4.056685,3.56,0.3,0
415.6383442,189173,49.260937,4.056682,3.56,0.3,0
415.8383442,189173,49.260943,4.056678,3.56,0.3,0
416.0383442,189173,49.260947,4.05667,3.56,0.3,0
416.1383442,189173,49.260949,4.056666,3.56,0.3,0
416.2383442,189173,49.260948,4.056661,3.56,0.3,0
416.3383442,189173,49.260947,4.056657,3.56,0.3,0
416.4383442,189173,49.260945,4.056653,3.56,0.3,0
416.5383442,189173,49.260942,4.05665,3.56,0.3,0
416.6383442,189173,49.26094,4.056646,3.56,0.3,0
416.7383442,189173,49.260937,4.056643,3.56,0.3,0
416.8383442,189173,49.260934,4.056641,3.56,0.3,0
416.9383442,189173,49.260931,4.056641,3.56,0.3,0
417.0383442,189173,49.260928,4.05664,3.56,0.3,0
417.1383442,189173,49.260924,4.056639,3.56,0.3,0
417.2383442,189173,49.26092,4.056638,3.56,0.3,0
417.3383442,189173,49.260916,4.056637,3.56,0.3,0
417.4383442,189173,49.260912,4.056636,3.56,0.3,0
417.5383442,189173,49.260908,4.056635,3.56,0.3,0
417.6383442,189173,49.260903,4.056634,3.56,0.3,0
417.7383442,189173,49.260899,4.056633,3.56,0.3,0
417.8383442,189173,49.260894,4.056632,3.56,0.3,0
417.9383442,189173,49.260889,4.056631,3.56,0.3,0
418.2383442,189173,49.260873,4.056627,3.56,0.3,0
418.5383442,189173,49.260855,4.056623,3.56,0.3,0
418.8383442,189173,49.260836,4.056618,3.56,0.3,0
419.1383442,189173,49.260816,4.056613,3.56,0.3,0
419.4383442,189173,49.260794,4.056608,3.56,0.3,0
419.7383442,189173,49.26077,4.056602,3.56,0.3,0
420.0383442,189173,49.260745,4.056596,3.56,0.3,0
420.3383442,189173,49.260718,4.05659,3.56,0.3,0
420.6383442,189173,49.260689,4.056583,3.56,0.3,0
420.9383442,189173,49.260659,4.056576,3.56,0.3,0
421.2383442,189173,49.260628,4.056568,3.56,0.3,0
421.5383442,189173,49.260595,4.05656,3.56,0.3,0
421.8383442,189173,49.26056,4.056552,3.56,0.3,0
422.1383442,189173,49.260524,4.056538,3.56,0.3,0
422.2383442,189173,49.260513,4.056527,3.56,0.3,0
422.3383442,189173,49.260504,4.056513,3.56,0.3,0
422.4383442,189173,49.260494,4.0565,3.56,0.3,0
422.5383442,189173,49.260482,4.056494,3.56,0.3,0
422.6383442,189173,49.260469,4.056488,3.56,0.3,0
422.7383442,189173,49.260457,4.056486,3.56,0.3,0
422.8383442,189173,49.260444,4.056484,3.56,0.3,0
422.9383442,189173,49.260432,4.056482,3.56,0.3,0
423.0383442,189173,49.26042,4.05648,3.56,0.3,0
423.1383442,189173,49.260407,4.056478,13.91,185.6,1
423.4383442,189173,49.26037,4.056471,13.81,185.6,0
423.7383442,189173,49.260333,4.056465,13.93,185.6,0
424.0383442,189173,49.260296,4.056458,13.82,185.6,0
424.3383442,189173,49.260258,4.056452,13.9,185.6,0
424.6383442,189173,49.260221,4.056446,13.86,185.6,0
424.9383442,189173,49.260184,4.056439,13.87,185.6,0
425.2383442,189173,49.260146,4.056436,13.89,183.1,0
425.5383442,189173,49.260109,4.056439,13.87,176.7,0
425.7383442,189173,49.260085,4.056447,13.83,170.4,0
425.9383442,189173,49.26006,4.056456,13.93,166.1,0
426.1383442,189173,49.260036,4.056457,13.89,171.9,0
426.2383442,189173,49.260023,4.056456,13.9,176.4,0
426.3383442,189173,49.260011,4.056454,13.85,182,0
426.4383442,189173,49.259998,4.056451,13.93,184.4,0
426.5383442,189173,49.259986,4.056449,13.85,186.4,0
426.6383442,189173,49.259974,4.056447,13.82,186.5,0
426.9383442,189173,49.259937,4.05644,13.87,185.8,0
427.2383442,189173,49.259899,4.056433,13.83,185.8,0
427.5383442,189173,49.259862,4.056427,13.84,185.8,0
427.8383442,189173,49.259825,4.05642,13.84,185.8,0
428.1383442,189173,49.259788,4.056414,13.8,185.8,0
428.4383442,189173,49.259751,4.056407,13.85,185.8,0
428.7383442,189173,49.259714,4.0564,13.83,185.8,0
429.0383442,189173,49.259676,4.056394,13.86,185.8,0
429.3383442,189173,49.259639,4.056387,13.91,186,0
178.2627931,195061,49.259653,4.056478,13.84,6.4,0
178.5627931,195061,49.25969,4.056484,13.74,5.8,0
178.8627931,195061,49.259727,4.056491,13.76,5.8,0
179.1627931,195061,49.259763,4.056498,13.82,5.8,0
179.4627931,195061,49.2598,4.056504,13.64,5.8,0
179.6627931,195061,49.259824,4.056508,12.84,5.8,0
179.8627931,195061,49.259845,4.056512,11.94,5.8,0
180.0627931,195061,49.259865,4.056516,11.04,5.8,0
180.2627931,195061,49.259886,4.056519,11.53,5.8,0
180.4627931,195061,49.259907,4.056523,12.03,5.8,0
180.6627931,195061,49.259929,4.056527,12.37,5.8,0
180.8627931,195061,49.259952,4.056531,12.76,5.8,0
181.0627931,195061,49.259975,4.056535,13.18,5.8,0
181.3627931,195061,49.260011,4.056542,13.7,6.6,0
181.6627931,195061,49.260048,4.056546,13.77,3.4,0
181.8627931,195061,49.260072,4.056543,13.84,357.6,0
182.0627931,195061,49.260097,4.056535,13.76,350.1,0
182.2627931,195061,49.260121,4.056526,13.77,346.1,0
182.4627931,195061,49.260145,4.056524,13.74,350.9,0
182.5627931,195061,49.260158,4.056524,13.8,355.6,0
182.6627931,195061,49.26017,4.056526,13.85,359.5,0
182.7627931,195061,49.260183,4.056527,13.79,1.9,0
182.8627931,195061,49.260195,4.05653,13.84,4.5,0
183.1627931,195061,49.260232,4.056536,13.8,5.6,0
183.4627931,195061,49.260269,4.056542,13.79,5.6,0
183.7627931,195061,49.260306,4.056549,13.78,5.6,0
184.0627931,195061,49.260343,4.056555,13.77,5.6,0
184.3627931,195061,49.26038,4.056561,13.75,5.6,0
184.6627931,195061,49.260417,4.056568,13.84,5.6,0
184.9627931,195061,49.260454,4.056574,13.84,5.6,0
185.2627931,195061,49.260491,4.056581,13.81,6.3,0
185.5627931,195061,49.260528,4.056589,13.84,6.9,0
185.8627931,195061,49.260564,4.056598,13.77,7.7,0
186.1627931,195061,49.260601,4.056606,13.81,8.1,0
186.4627931,195061,49.260638,4.056615,13.73,8.1,0
186.7627931,195061,49.260675,4.056624,13.75,8.1,0
187.0627931,195061,49.260711,4.056633,1.18,0.2,1
187.3627931,195061,49.260748,4.056641,1.18,0.2,0
187.6627931,195061,49.260785,4.05665,1.18,0.2,0
187.9627931,195061,49.260822,4.056659,1.18,0.2,0
188.2627931,195061,49.260858,4.056668,1.18,0.2,0
188.5627931,195061,49.260895,4.056676,1.18,0.2,0
188.8627931,195061,49.260932,4.056685,1.18,0.2,0
189.1627931,195061,49.260968,4.056693,1.18,0.2,0
189.4627931,195061,49.261005,4.0567,1.18,0.2,0
189.7627931,195061,49.261042,4.056707,1.18,0.2,0
190.0627931,195061,49.261079,4.056714,1.18,0.2,0
190.3627931,195061,49.261116,4.056721,1.18,0.2,0
190.6627931,195061,49.261153,4.056728,1.18,0.2,0
190.9627931,195061,49.26119,4.056735,1.18,0.2,0
191.2627931,195061,49.261227,4.056741,1.18,0.2,0
191.5627931,195061,49.261264,4.056748,1.18,0.2,0
191.8627931,195061,49.261301,4.056755,1.18,0.2,0
192.1627931,195061,49.261338,4.056762,13.81,6.2,1
192.4627931,195061,49.261375,4.056769,13.8,6.2,0
192.7627931,195061,49.261411,4.056776,13.74,6.2,0
193.0627931,195061,49.261448,4.056783,13.73,6.2,0
193.3627931,195061,49.261485,4.05679,13.73,6.2,0
193.6627931,195061,49.261522,4.056797,13.85,6.2,0
193.8627931,195061,49.261546,4.056801,13.13,6.2,0
194.0627931,195061,49.261568,4.056805,12.29,6.2,0
194.2627931,195061,49.261589,4.056809,11.39,6.2,0
194.4627931,195061,49.261608,4.056813,10.56,6.2,0
194.6627931,195061,49.261626,4.056816,9.66,6.2,0
194.8627931,195061,49.261642,4.056819,8.76,6.2,0
195.0627931,195061,49.261657,4.056822,7.86,6.2,0
195.2627931,195061,49.261669,4.056824,6.96,6.2,0
195.4627931,195061,49.261681,4.056828,6.35,7.3,0
195.6627931,195061,49.261692,4.056832,6.37,9.3,0
195.8627931,195061,49.261702,4.05684,6.31,14.5,0
195.9627931,195061,49.261706,4.056846,6.42,18.5,0
196.0627931,195061,49.261711,4.056851,6.39,22.5,0
211.1627931,195061,49.261738,4.056831,7.9,257.2,0
211.2627931,195061,49.261734,4.056822,7.8,252.6,0
211.3627931,195061,49.261729,4.056815,7.82,244.5,0
211.4627931,195061,49.261723,4.056808,7.8,236.5,0
211.5627931,195061,49.261718,4.056802,7.85,231.7,0
211.6627931,195061,49.261712,4.056795,7.91,226.7,0
211.7627931,195061,49.261705,4.056792,7.88,218.5,0
211.8627931,195061,49.261698,4.05679,7.85,210.4,0
211.9627931,195061,49.261692,4.056787,7.88,206.1,0
212.0627931,195061,49.261685,4.056784,7.83,202.4,0
212.1627931,195061,49.261678,4.056781,7.83,198.6,0
212.2627931,195061,49.261671,4.05678,8.05,193.6,0
212.3627931,195061,49.261663,4.056779,8.27,191.5,0
212.4627931,195061,49.261656,4.056777,8.49,190.1,0
212.5627931,195061,49.261648,4.056776,8.68,188.7,0
212.9627931,195061,49.261616,4.05677,9.31,186.2,0
213.2627931,195061,49.26159,4.056765,9.86,186.2,0
213.5627931,195061,49.261563,4.05676,10.29,186.2,0
