timestamp,stationid,latitude,longitude,heading,speed,acceleration
594.1822118,118457,49.261743,4.05685,264.4,8.43,-0.358367
594.2822118,118457,49.26174,4.056839,260.5,8.37,-0.608824
594.3822118,118457,49.261737,4.056829,256.6,8.37,-0.0128651
594.4822118,118457,49.261733,4.05682,250.6,8.36,-0.100701
594.5822118,118457,49.261727,4.056813,241.8,8.44,0.77398
594.6822118,118457,49.261721,4.056805,234.4,8.45,0.137812
594.7822118,118457,49.261715,4.056798,229.5,8.36,-0.925546
594.8822118,118457,49.261708,4.056794,222.3,8.38,0.165901
594.9822118,118457,49.261701,4.056791,213.6,8.35,-0.263784
595.0822118,118457,49.261694,4.056788,207.4,8.36,0.0418621
595.1822118,118457,49.261687,4.056785,203.4,8.47,1.1408
595.2822118,118457,49.261679,4.056782,199.4,8.36,-1.10863
595.3822118,118457,49.261672,4.05678,194.3,8.4,0.416385
595.4822118,118457,49.261664,4.056779,191.6,8.54,1.3915
595.5822118,118457,49.261656,4.056777,190.2,8.68,1.39639
595.6822118,118457,49.261649,4.056776,188.8,8.84,1.63418
595.9822118,118457,49.261624,4.056771,186.2,9.47,1.68293
596.2822118,118457,49.261597,4.056766,186.2,10.02,1.91721
596.5822118,118457,49.26157,4.056761,186.2,10.6,2.1164
596.8822118,118457,49.26154,4.056756,186.2,11.3,2.31386
597.1822118,118457,49.261509,4.05675,186.2,11.8,1.86324
597.4822118,118457,49.261476,4.056744,186.2,12.51,2.38574
597.7822118,118457,49.261441,4.056737,186.2,13.06,1.38433
598.0822118,118457,49.261405,4.056731,186.2,13.65,2.053
598.3822118,118457,49.261368,4.056724,186.2,14.22,2.09757
598.6822118,118457,49.261329,4.056716,186.2,14.76,2.01771
598.9822118,118457,49.261289,4.056709,186.2,14.71,-0.508935
599.2822118,118457,49.26125,4.056701,186.2,14.72,-0.215254
599.5822118,118457,49.26121,4.056694,186.2,14.67,-0.771662
599.8822118,118457,49.261171,4.056687,186.2,14.72,-0.22306
600.1822118,118457,49.261132,4.056679,186.2,14.76,0.403488
600.4822118,118457,49.261092,4.056672,186.2,14.8,0.617552
600.7822118,118457,49.261053,4.056665,186.2,14.7,-0.514174
601.0822118,118457,49.261013,4.056657,186.2,14.71,0.165394
601.3822118,118457,49.260974,4.05665,186.3,14.74,0.0489123
601.6822118,118457,49.260934,4.056641,187,14.73,-0.425649
601.9822118,118457,49.260895,4.056632,188,14.7,0.077701
602.2822118,118457,49.260856,4.056623,188.1,14.71,-0.659673
602.5822118,118457,49.260816,4.056613,188.1,14.69,-0.143594
602.8822118,118457,49.260777,4.056604,188.1,14.7,-0.801769
603.1822118,118457,49.260738,4.056594,188.1,14.74,-0.23357
603.4822118,118457,49.260698,4.056585,188.1,14.77,0.0367125
603.7822118,118457,49.260659,4.056576,188.1,14.74,0.547417
604.0822118,118457,49.26062,4.056566,188.1,14.68,-0.671288
604.3822118,118457,49.26058,4.056557,188.1,14.71,-0.578128
604.6822118,118457,49.260541,4.056547,188.1,14.77,0.354979
604.8822118,118457,49.260516,4.056531,196.4,14.73,-0.0698016
604.9822118,118457,49.260506,4.056516,206.6,14.71,-0.140347
605.0822118,118457,49.260495,4.056502,214.9,14.79,0.797431
605.1822118,118457,49.260483,4.056494,215.5,14.68,-1.17726
605.2822118,118457,49.260469,4.056488,208,14.77,0.90121
605.3822118,118457,49.260456,4.056486,197.2,14.77,0.0860648
605.4822118,118457,49.260443,4.056484,189.8,14.72,-0.518293
605.5822118,118457,49.26043,4.056482,186.3,14.68,-0.455585
605.6822118,118457,49.260417,4.056479,185.6,14.76,0.811631
605.7822118,118457,49.260404,4.056477,185.6,14.75,-0.125204
606.0822118,118457,49.260364,4.05647,185.6,14.67,-0.346476
606.3822118,118457,49.260325,4.056463,185.6,14.7,-0.0907332
606.6822118,118457,49.260285,4.056457,185.6,14.74,-0.533882
606.9822118,118457,49.260246,4.05645,185.6,14.76,0.393005
607.2822118,118457,49.260206,4.056443,185.6,14.69,-0.0191382
607.5822118,118457,49.260166,4.056437,184.9,14.71,-0.647896
607.8822118,118457,49.260126,4.056436,180.2,14.68,-0.759639
608.0822118,118457,49.2601,4.056442,174.4,14.68,-1.17157
608.2822118,118457,49.260074,4.056451,167.5,14.76,0.150844
608.4822118,118457,49.260048,4.056457,168.3,14.7,-0.535753
608.6822118,118457,49.260022,4.056456,177,14.78,0.482995
608.7822118,118457,49.260009,4.056453,182.4,14.74,-0.395155
608.8822118,118457,49.259996,4.05645,184.9,14.77,0.336599
608.9822118,118457,49.259983,4.056448,186.9,14.78,0.0114143
609.0822118,118457,49.259969,4.056446,186.4,14.68,-0.967609
609.3822118,118457,49.25993,4.056439,185.8,14.7,-0.461223
609.6822118,118457,49.25989,4.056432,185.8,14.76,0.347412
609.9822118,118457,49.259851,4.056425,185.8,14.75,0.0591027
610.2822118,118457,49.259811,4.056418,185.8,14.69,-1.006
610.5822118,118457,49.259772,4.056411,185.8,14.69,-0.240755
610.8822118,118457,49.259732,4.056404,185.8,14.78,-0.176033
611.1822118,118457,49.259693,4.056397,185.8,14.75,0.70959
611.4822118,118457,49.259654,4.05639,185.8,14.69,-0.452694
404.3383442,189173,49.259658,4.056479,6.3,13.86,-0.0347771
404.6383442,189173,49.259695,4.056485,5.8,13.89,0.175376
404.9383442,189173,49.259732,4.056492,5.8,13.89,0.240332
405.2383442,189173,49.259769,4.056499,5.8,13.82,-0.636484
405.5383442,189173,49.259807,4.056505,5.8,13.92,0.0138684
405.8383442,189173,49.259844,4.056512,5.8,13.91,-0.159254
406.1383442,189173,49.259881,4.056518,5.8,13.82,0.092216
406.4383442,189173,49.259918,4.056525,5.8,13.9,0.166465
406.7383442,189173,49.259955,4.056532,5.8,13.87,-0.370732
407.0383442,189173,49.259992,4.056538,5.9,13.84,0.0733145
407.3383442,189173,49.260029,4.056545,5.8,13.88,-0.49659
407.6383442,189173,49.260067,4.056545,359.3,13.92,0.6882
407.8383442,189173,49.260091,4.056537,352.1,13.87,0.36534
407.9383442,189173,49.260103,4.056533,347.6,13.91,0.403622
408.0383442,189173,49.260115,4.056528,346.2,13.91,0.0636179
408.1383442,189173,49.260128,4.056525,347.2,13.88,-0.301559
408.2383442,189173,49.26014,4.056524,349.6,13.86,-0.232041
408.4383442,189173,49.260165,4.056525,358.5,13.93,0.864836
408.6383442,189173,49.26019,4.056529,3.5,13.89,0.395429
408.8383442,189173,49.260215,4.056533,5.2,13.86,0.185193
409.0383442,189173,49.260239,4.056537,5.6,13.84,-0.174993
409.2383442,189173,49.260264,4.056542,5.6,13.81,-0.208999
409.5383442,189173,49.260301,4.056548,5.6,13.81,-1.07564
409.8383442,189173,49.260338,4.056554,5.6,13.81,-0.499919
410.1383442,189173,49.260376,4.056561,5.6,13.93,-0.0233531
410.4383442,189173,49.260413,4.056567,5.6,13.83,0.101931
410.7383442,189173,49.26045,4.056574,5.6,13.93,0.215255
411.0383442,189173,49.260487,4.056581,6.2,13.88,0.307054
411.3383442,189173,49.260524,4.056588,6.9,13.84,0.0967726
